serviceA,serviceB,serviceC
0.4064,8.9787,10.3278
0.1462,0.0581,0.1838
5.8061,4.3965,8.5922
6.1262,2.0259,0.7597
1.2435,7.8680,14.4479
0.6448,2.0711,0.1215
1.2381,0.9161,6.9920
0.9385,12.4239,0.9538
10.6521,13.7256,1.2814
3.9726,3.5878,0.7718
9.6609,2.0383,14.1013
11.9369,13.3585,0.1851
10.2621,10.9217,1.5430
0.4477,5.9379,3.0637
1.1117,0.9788,20.1120
1.4682,3.7814,4.3266
3.7108,3.4538,1.6620
3.6516,1.9681,4.5177
0.5395,3.7899,0.2058
3.3468,0.9559,3.8447
11.4187,2.0409,3.4263
2.4770,0.5095,0.5367
3.2292,0.5134,0.5674
2.2649,1.3009,0.9367
3.4210,0.3970,4.6031
3.5055,2.5336,1.1829
8.9609,0.9626,1.8147
4.0376,10.8918,13.8155
2.8603,6.2500,4.1176
0.9486,1.8374,1.9306
6.2574,3.9154,1.1655
1.8093,1.7632,3.5988
0.5899,2.9787,4.4770
0.1906,0.0887,2.0288
4.0504,3.0395,3.9135
0.3276,5.9982,0.1744
6.1168,6.6793,9.2372
4.4684,2.0595,0.5862
5.7842,19.3201,1.4020
2.1614,0.4966,0.4656
1.2902,7.8196,0.1069
2.3938,7.7514,4.4915
1.6752,6.0013,0.6102
0.1036,11.4992,3.8222
8.6971,1.2360,7.4951
2.5341,1.8052,1.2231
6.8340,4.9918,7.7507
2.9523,4.8919,9.3595
9.2677,1.2734,5.0698
4.4860,3.4706,4.3581
2.4417,6.3561,6.6469
0.0105,0.7380,1.3899
1.2131,6.4995,0.2617
11.0039,4.6635,2.7995
0.3484,0.6698,1.2067
0.6943,0.5858,1.0052
5.1538,1.8875,2.5866
1.5968,10.7477,1.4603
1.3124,0.5844,17.4439
10.3692,0.1310,5.1199
