week,period,day,count
1,1,M,8
1,2,M,8
1,3,M,9
1,4,M,10
1,5,M,6
1,6,M,11
1,7,M,12
1,8,M,8
2,1,M,10
2,2,M,6
2,3,M,7
2,4,M,11
2,5,M,10
2,6,M,10
2,7,M,5
2,8,M,13
3,1,M,5
3,2,M,15
3,3,M,5
3,4,M,7
3,5,M,9
3,6,M,14
3,7,M,5
3,8,M,10
4,1,M,7
4,2,M,10
4,3,M,11
4,4,M,11
4,5,M,14
4,6,M,8
4,7,M,5
4,8,M,8
1,1,T,5
1,2,T,4
1,3,T,5
1,4,T,11
1,5,T,7
1,6,T,8
1,7,T,7
1,8,T,9
2,1,T,13
2,2,T,12
2,3,T,9
2,4,T,8
2,5,T,10
2,6,T,8
2,7,T,10
2,8,T,4
3,1,T,7
3,2,T,11
3,3,T,11
3,4,T,12
3,5,T,13
3,6,T,1
3,7,T,10
3,8,T,9
4,1,T,11
4,2,T,10
4,3,T,2
4,4,T,9
4,5,T,9
4,6,T,4
4,7,T,6
4,8,T,9
1,1,W,16
1,2,W,9
1,3,W,6
1,4,W,12
1,5,W,14
1,6,W,7
1,7,W,8
1,8,W,9
2,1,W,7
2,2,W,6
2,3,W,10
2,4,W,10
2,5,W,8
2,6,W,7
2,7,W,10
2,8,W,9
3,1,W,14
3,2,W,7
3,3,W,13
3,4,W,14
3,5,W,8
3,6,W,9
3,7,W,8
3,8,W,8
4,1,W,8
4,2,W,11
4,3,W,5
4,4,W,8
4,5,W,5
4,6,W,7
4,7,W,8
4,8,W,7
1,1,R,7
1,2,R,8
1,3,R,6
1,4,R,10
1,5,R,9
1,6,R,7
1,7,R,3
1,8,R,8
2,1,R,7
2,2,R,12
2,3,R,8
2,4,R,7
2,5,R,10
2,6,R,10
2,7,R,13
2,8,R,10
3,1,R,8
3,2,R,9
3,3,R,6
3,4,R,5
3,5,R,10
3,6,R,9
3,7,R,2
3,8,R,9
4,1,R,5
4,2,R,11
4,3,R,6
4,4,R,5
4,5,R,8
4,6,R,4
4,7,R,12
4,8,R,9
1,1,F,7
1,2,F,6
1,3,F,5
1,4,F,12
1,5,F,3
1,6,F,11
1,7,F,6
1,8,F,6
2,1,F,7
2,2,F,8
2,3,F,7
2,4,F,8
2,5,F,9
2,6,F,7
2,7,F,8
2,8,F,10
3,1,F,8
3,2,F,10
3,3,F,2
3,4,F,9
3,5,F,7
3,6,F,4
3,7,F,6
3,8,F,14
4,1,F,4
4,2,F,4
4,3,F,10
4,4,F,6
4,5,F,9
4,6,F,6
4,7,F,6
4,8,F,6
