Obs,Period,Day,N
1,1,M,13
2,2,M,6
3,3,M,7
4,4,M,12
5,5,M,6
6,6,M,10
7,7,M,9
8,8,M,7
9,9,M,8
10,10,M,9
11,1,T,4
12,2,T,5
13,3,T,14
14,4,T,6
15,5,T,8
16,6,T,6
17,7,T,5
18,8,T,10
19,9,T,4
20,10,T,2
21,1,W,4
22,2,W,7
23,3,W,10
24,4,W,10
25,5,W,8
26,6,W,9
27,7,W,5
28,8,W,11
29,9,W,2
30,10,W,6
31,1,R,3
32,2,R,7
33,3,R,5
34,4,R,5
35,5,R,5
36,6,R,3
37,7,R,5
38,8,R,9
39,9,R,7
40,10,R,8
41,1,F,8
42,2,F,5
43,3,F,5
44,4,F,12
45,5,F,4
46,6,F,3
47,7,F,7
48,8,F,7
49,9,F,6
50,10,F,7
51,1,S,8
52,2,S,6
53,3,S,5
54,4,S,7
55,5,S,11
56,6,S,6
57,7,S,5
58,8,S,10
59,9,S,5
60,10,S,4
61,1,SU,9
62,2,SU,8
63,3,SU,10
64,4,SU,4
65,5,SU,9
66,6,SU,4
67,7,SU,4
68,8,SU,13
69,9,SU,7
70,10,SU,9
